image_path,annotation_path,city,width,height,crs,transform_json
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img122.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img122.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53497840002059, 0.0, -2.7000000004798827e-06, 15.69633119996875]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img123.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img123.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.629641199956897]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img125.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img125.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.636661199958144]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img128.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img128.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.647191199960016]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img129.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img129.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.65070119996064]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img130.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img130.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.654211199961264]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img131.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img131.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.685801199966878]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img134.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img134.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.69633119996875]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img136.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img136.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.703351199969998]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img137.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img137.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.538488400021215, 0.0, -2.7000000004798827e-06, 15.706861199970621]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img138.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img138.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.517321199936934]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img143.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img143.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.626131199956273]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img145.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img145.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.63315119995752]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img147.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img147.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.640171199958768]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img148.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img148.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.643681199959392]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img149.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img149.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.647191199960016]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img150.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img150.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.65070119996064]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img151.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img151.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.654211199961264]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img153.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img153.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.682291199966254]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img154.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img154.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.685801199966878]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img155.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img155.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.689311199967502]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img157.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img157.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.69633119996875]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img158.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img158.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.699841199969374]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img162.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img162.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54199840002184, 0.0, -2.7000000004798827e-06, 15.713881199971869]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img164.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img164.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.517321199936934]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img166.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img166.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.524341199938181]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img17.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img17.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.49636840001373, 0.0, -2.7000000004798827e-06, 15.5418911999413]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img171.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img171.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.545401199941924]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img172.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img172.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.548911199942548]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img173.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img173.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.552421199943172]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img174.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img174.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.555931199943796]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img175.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img175.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.55944119994442]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img176.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img176.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.619111199955025]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img178.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img178.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.626131199956273]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img18.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img18.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.49636840001373, 0.0, -2.7000000004798827e-06, 15.545401199941924]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img180.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img180.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.63315119995752]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img181.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img181.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.636661199958144]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img182.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img182.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.640171199958768]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img183.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img183.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.643681199959392]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img185.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img185.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.65070119996064]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img187.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img187.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.657721199961887]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img189.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img189.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.664741199963135]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img19.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img19.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.49636840001373, 0.0, -2.7000000004798827e-06, 15.548911199942548]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img190.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img190.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.668251199963759]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img191.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img191.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.67878119996563]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img192.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img192.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.682291199966254]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img193.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img193.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.685801199966878]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img194.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img194.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.689311199967502]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img195.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img195.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.692821199968126]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img197.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img197.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.713881199971869]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img199.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img199.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54550840002246, 0.0, -2.7000000004798827e-06, 15.720901199973117]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img2.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img2.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.48583840001186, 0.0, -2.7000000004798827e-06, 15.520831199937557]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img20.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img20.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.49987840001435, 0.0, -2.7000000004798827e-06, 15.517321199936934]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img203.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img203.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.517321199936934]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img204.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img204.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.520831199937557]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img205.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img205.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.524341199938181]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img207.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img207.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.531361199939429]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img21.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img21.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.49987840001435, 0.0, -2.7000000004798827e-06, 15.520831199937557]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img211.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img211.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.545401199941924]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img213.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img213.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.552421199943172]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img216.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img216.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.562951199945044]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img218.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img218.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.569971199946291]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img219.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img219.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.573481199946915]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img220.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img220.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.619111199955025]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img222.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img222.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.626131199956273]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img224.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img224.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.63315119995752]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img225.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img225.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.636661199958144]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img227.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img227.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.54901840002309, 0.0, -2.7000000004798827e-06, 15.643681199959392]"
